proposal_number,proposal,sponsor,rec,vote_cast,company_name,meeting_date,ticker,cusip,record_date,meeting_type,proxy_contest,proxy_card,recommendation_source,fund_name,filer__company_data__company_conformed_name,filer__company_data__central_index_key,filer__company_data__irs_number,filer__company_data__state_of_incorporation,filer__company_data__fiscal_year_end,filer__filing_values__form_type,filer__filing_values__sec_act,filer__filing_values__sec_file_number,filer__filing_values__film_number,filer__business_address__street_1,filer__business_address__street_2,filer__business_address__city,filer__business_address__state,filer__business_address__zip,filer__business_address__business_phone,filer__mail_address__street_1,filer__mail_address__street_2,filer__mail_address__city,filer__mail_address__state,filer__mail_address__zip,filer__former_company__former_conformed_name,filer__former_company__date_of_name_change,accession__accession_number,accession__conformed_period_of_report,accession__filed_as_of_date,accession__date_as_of_change,accession__effectiveness_date,metadata_fund_name,fund_name_match_score,owner_cik,series_id,series_name,class_contract_id,class_contract_name,class_contract_ticker_symbol
10,Approve Issuance by BYD Electronic (International) Company Limited of Equity or Equity-Linked Securities without Preemptive Rights,Management,For,Against,BYD COMPANY LIMITED,"JUN 08, 2023",1211,Y1023R104,"JUN 01, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
11,Approve Authorization to the Board to Determine the Proposed Plan for the Issuance of Debt Financing Instrument(s),Management,For,Against,BYD COMPANY LIMITED,"JUN 08, 2023",1211,Y1023R104,"JUN 01, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
12,"Approve Purchase of Liability Insurance for Directors, Supervisors, Senior Management and Other Related Persons and Authorize the Chairman or Its Authorized Persons to Handle All Related Matters",Management,For,For,BYD COMPANY LIMITED,"JUN 08, 2023",1211,Y1023R104,"JUN 01, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
13,Approve Compliance Manual in Relation to Connected Transaction,Management,For,For,BYD COMPANY LIMITED,"JUN 08, 2023",1211,Y1023R104,"JUN 01, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1,Approve Annual Report and Summary,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
2,Approve Report of the Board of Directors,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
3,Approve Report of the Board of Supervisors,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
4,Approve Profit Distribution and Capitalization of Capital Reserves Plan,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
5,Approve Financial Statements,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
6,Approve 2022 and 2023 Remuneration of Directors,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
7,Approve 2022 and 2023 Remuneration of Supervisors,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
8,"Approve Purchase of Liability Insurance for Directors, Supervisors and Senior Management Members",Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
9,Approve to Appoint Auditor,Management,For,Abstain,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
10,Approve Related Party Transaction,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
11,Approve Application of Credit Lines,Management,For,Against,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
12,Approve Estimated Amount of Guarantees,Management,For,Against,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
13,Approve Hedging Plan,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
14,Approve Repurchase and Cancellation of Performance Shares Deliberated at the 11th Meeting of the Board of Directors,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
15,Approve Repurchase and Cancellation of Performance Shares Deliberated at the 17th Meeting of the Board of Directors,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
16,Approve Change in Registered Capital and Amendment of Articles of Association Deliberated at the 16th Meeting of the Board of Directors,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
17,Approve Change in Registered Capital and Amendment of Articles of Association Deliberated at the 17th Meeting of the Board of Directors,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
18,Approve Formulation of External Donation Management System,Management,For,For,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
19,Amend the Currency Fund Management System,Management,For,Against,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
20,Amend Management System for Providing External Guarantees,Management,For,Against,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LTD.","MAR 31, 2023",300750,Y1R48E105,"MAR 22, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1.1,Elect Director Johanna Flower,Management,For,For,"CROWDSTRIKE HOLDINGS, INC.","JUN 21, 2023",CRWD,22788C105,"APR 28, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1.2,Elect Director Denis J. O'Leary,Management,For,Withhold,"CROWDSTRIKE HOLDINGS, INC.","JUN 21, 2023",CRWD,22788C105,"APR 28, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1.3,Elect Director Godfrey R. Sullivan,Management,For,Withhold,"CROWDSTRIKE HOLDINGS, INC.","JUN 21, 2023",CRWD,22788C105,"APR 28, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
2,Ratify PricewaterhouseCoopers LLP as Auditors,Management,For,For,"CROWDSTRIKE HOLDINGS, INC.","JUN 21, 2023",CRWD,22788C105,"APR 28, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1a,Elect Director Olivier Pomel,Management,For,For,"DATADOG, INC.","JUN 08, 2023",DDOG,23804L103,"APR 11, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1b,Elect Director Dev Ittycheria,Management,For,Withhold,"DATADOG, INC.","JUN 08, 2023",DDOG,23804L103,"APR 11, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1c,Elect Director Shardul Shah,Management,For,Withhold,"DATADOG, INC.","JUN 08, 2023",DDOG,23804L103,"APR 11, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
2,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,For,"DATADOG, INC.","JUN 08, 2023",DDOG,23804L103,"APR 11, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
3,Ratify Deloitte & Touche LLP as Auditors,Management,For,For,"DATADOG, INC.","JUN 08, 2023",DDOG,23804L103,"APR 11, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1,Approve Annual Report and Summary,Management,For,For,ESTUN AUTOMATION CO. LTD.,"MAY 19, 2023",002747,Y6196S102,"MAY 12, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
